"NoSNPs"	"AA"	"AB"	"AAA"	"AAB"	"AAAA"	"AAAB"	"AABB"	"AAAAA"	"AAAAB"	"AAABB"	"AAAAAA"	"AAAAAB"	"AAAABB"	"AAABBB"	"AAAAAAA"	"AAAAAAB"	"AAAAABB"	"AAAABBB"
"1"	479	1253	41	46	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	555	1884	57	79	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0
"3"	541	1649	69	63	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	515	612	24	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	503	1499	27	102	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0
"6"	496	2622	31	259	10	19	3	0	2	0	0	0	0	0	0	0	0	0	0
"7"	504	635	62	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	535	1511	37	81	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	490	461	37	15	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	538	1545	35	66	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	492	1082	28	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	531	751	52	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	540	1010	41	34	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"14"	537	570	46	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	485	780	15	27	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"16"	484	1366	6	80	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"17"	505	1193	25	48	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	515	2033	27	126	4	10	1	0	0	0	0	1	0	0	0	1	0	0	0
"19"	513	910	22	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"20"	485	869	10	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	509	1409	57	60	14	6	2	1	0	0	0	0	0	0	0	0	0	0	0
"22"	503	1949	12	168	2	14	1	0	1	0	0	0	0	0	0	0	0	0	0
