LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask7-highdepth	357921	4133898	357409	254186	439903	556	0.131466	18039399
SS6003110.Mask7-highdepth	382424	4115827	381839	272360	494755	605	0.146489	15734431
SS6003112.Mask7-highdepth	493572	4800789	492995	375949	578608	888	0.151871	18305328
SS6003114.Mask7-highdepth	386614	3409525	386213	276557	277961	540	0.115531	19792575
SS6003116.Mask7-highdepth	332803	3196233	332354	217596	409565	677	0.154154	11397413
SS6003118.Mask7-highdepth	332445	3838082	331908	223256	653023	412	0.190957	9964488
SS6003120.Mask7-highdepth	298994	4427018	298751	245644	344412	741	0.102094	27008548
SS6003124.Mask7-highdepth	238523	3592776	238269	173978	433468	700	0.140208	13684454
SS6003128.Mask7-highdepth	306985	3690673	306743	231104	297123	509	0.107351	21707318
SS6003130.Mask7-highdepth	231290	3642994	231014	170399	443218	716	0.140587	13749565
SS6003132.Mask7-highdepth	251099	3879567	250855	189135	393877	1268	0.121955	17839607
SS6003134.Mask7-highdepth	321634	4391256	321367	257855	392172	1042	0.114475	23152607
SS6003136.Mask7-highdepth	263277	3599394	263017	190672	337940	645	0.116128	17978998
SS6003148.Mask7-highdepth	324231	3876301	323918	255222	290491	1248	0.103531	24649047
SS6003301.lanes1.Mask7-highdepth	33873	595076	33833	16474	11540	287	0.032315	15520200
SS6003301.lanes2.Mask7-highdepth	66458	1193815	66385	39032	41433	564	0.049671	17019594
SS6003301.lanes3.Mask7-highdepth	100154	1795839	100044	64628	86881	829	0.064572	18118348
SS6003301.lanes4.Mask7-highdepth	131890	2382596	131738	90582	146109	1109	0.078169	18754671
SS6003301.lanes5.Mask7-highdepth	166177	2993099	165982	119588	221168	1362	0.091334	19350016
SS6003301.Mask7-highdepth	166177	2993099	165982	119588	221168	1362	0.091334	19350016
SS6003304.Mask7-highdepth	204765	3429569	204559	152759	319729	1116	0.11215	17284576
SS6003307.Mask7-highdepth	251737	3545666	251481	183191	335827	1047	0.116415	17563906
SS6003310.Mask7-highdepth	253256	3466194	253009	190342	452048	764	0.152309	12123472
SS6003313.Mask7-highdepth	190410	3315109	190206	145853	245716	1105	0.093435	21330338
SS6003316.Mask7-highdepth	191734	3433991	191573	150733	249557	2177	0.09205	22645925
SS6003319.Mask7-highdepth	271184	3663560	270960	219414	386071	1030	0.130497	16175562
SS6003322.Mask7-highdepth	197057	3251128	196868	148406	400617	1431	0.141752	12120588
