LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108	19768984	1154862954	144367933	11870460	70969252	185862	0.066027	9029064131
SS6003110	24593324	1159131325	151855548	14279719	91089885	220947	0.083855	6998592498
SS6003112	23772784	1286607709	147999451	14982149	89280009	291785	0.074526	8862877309
SS6003114	18223861	882011554	99677924	10611563	44558141	179632	0.055956	8464829699
SS6003116	18038493	929424618	97560478	10776906	110752384	241314	0.123759	3590022215
SS6003118	18748802	1161725402	146938607	12349153	168354582	137224	0.14903	3613205212
SS6003120	11301045	1111613500	121834352	8648722	44584164	242579	0.043775	13554643853
SS6003124	11317823	989282792	95730533	7912046	79868639	229800	0.084251	5807328324
SS6003128	11307203	967886268	102039370	8424851	46426803	172978	0.052016	9797943680
SS6003130	11877635	1027671608	93028959	8375707	85661597	251220	0.086928	5832092693
SS6003132	11581473	1018896338	99646884	8124591	61457371	378400	0.063941	8149098570
SS6003134	11812529	1095284306	114352789	9093096	48004254	333618	0.047722	12207310118
SS6003136	13049364	991380722	98628000	8578274	57119768	205480	0.061538	8297116536
SS6003148	11093705	1027533361	108716905	8296994	38373858	411030	0.041161	13550385876
SS6003301	8743858	888608322	60826000	5744073	52583704	505528	0.062102	7273503256
SS6003304	11538098	1013028943	81729734	7905230	84748370	384156	0.087064	5735058741
SS6003307	11318751	1040312588	71892999	7768815	71293447	363115	0.071874	7272901324
SS6003310	10468215	1027827555	85389462	7118852	110055307	258864	0.109979	4459434591
SS6003313	9541701	1001511698	63333209	6579310	52312432	379984	0.055255	9313017961
SS6003316	9296737	968955423	73853725	6612343	58000233	761626	0.062969	7862506793
SS6003319	11762888	1045386919	81635831	8547909	86140747	372018	0.086005	6012959863
SS6003322	10346650	929514495	69454610	6946300	105393256	497395	0.116474	3798070885
