"NoSNPs"	"NoReads"	"NoDups"	"AA"	"AB"	"AAA"	"AAB"	"AAAA"	"AAAB"	"AABB"	"AAAAA"	"AAAAB"	"AAABB"	"AAAAAA"	"AAAAAB"	"AAAABB"	"AAABBB"	"AAAAAAA"	"AAAAAAB"	"AAAAABB"	"AAAABBB"	"NoN"
"SS6003108.bam"	972	76120	3100	2769	126	92	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003110.bam"	1083	86592	4830	4204	173	193	20	4	3	1	0	0	0	0	0	0	0	0	0	0	0	2
"SS6003112.bam"	1093	96800	4486	3925	194	154	25	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003114.bam"	986	60124	1565	1421	69	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003116.bam"	1005	61453	5685	4726	85	376	17	22	1	0	2	0	0	0	0	0	0	0	0	0	0	3
"SS6003118.bam"	998	78420	9513	7589	122	749	21	70	6	3	2	1	1	0	0	0	1	0	0	0	0	6
"SS6003120.bam"	1032	79680	1532	1319	143	26	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003124.bam"	1055	72141	4269	3709	116	186	20	6	1	1	2	0	0	0	0	0	0	0	0	0	0	1
"SS6003128.bam"	942	62698	1426	1251	111	27	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003130.bam"	1065	75251	4643	4042	120	211	13	9	0	1	0	0	0	0	0	0	0	0	0	0	0	2
"SS6003132.bam"	980	69216	2692	2423	90	81	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003134.bam"	1023	79430	1645	1439	142	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003136.bam"	1033	71469	2617	2336	107	67	14	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003148.bam"	1008	71983	1334	1173	107	19	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003301.bam"	968	58851	2454	2262	47	65	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003304.bam"	973	67565	4604	4088	31	209	8	16	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003307.bam"	1016	73046	3785	3404	70	144	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003310.bam"	996	68673	6155	5191	97	364	19	27	2	1	2	0	0	0	0	0	0	0	0	0	0	3
"SS6003313.bam"	1034	69739	2569	2336	71	73	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003316.bam"	1006	67254	2873	2622	41	94	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003319.bam"	1048	75083	4731	3986	176	198	44	17	3	3	0	2	2	0	0	0	0	0	0	0	0	1
"SS6003322.bam"	1010	64889	6395	5266	48	472	11	32	2	0	3	0	0	0	0	0	0	0	0	0	0	1
