"NoSNPs"	"NoReads"	"NoDups"	"AA"	"AB"	"AAA"	"AAB"	"AAAA"	"AAAB"	"AABB"	"AAAAA"	"AAAAB"	"AAABB"	"AAAAAA"	"AAAAAB"	"AAAABB"	"AAABBB"	"AAAAAAA"	"AAAAAAB"	"AAAAABB"	"AAAABBB"	"NoN"
"SS6003108.bam"	495	42663	1837	1629	76	61	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003110.bam"	540	45679	2698	2335	104	112	10	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2
"SS6003112.bam"	547	52939	2615	2284	114	89	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003114.bam"	519	35828	1034	938	41	25	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003116.bam"	487	29123	2499	2141	43	137	5	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"SS6003118.bam"	485	36466	4197	3335	55	346	10	24	4	2	1	0	0	0	0	0	0	0	0	0	0	3
"SS6003120.bam"	511	45053	948	812	93	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003124.bam"	532	38653	2350	2038	64	105	10	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003128.bam"	495	36150	838	739	66	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003130.bam"	528	37633	2332	2037	54	105	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"SS6003132.bam"	494	38001	1565	1415	47	46	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003134.bam"	524	45762	1010	880	88	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003136.bam"	538	38765	1501	1325	67	42	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003148.bam"	509	40873	835	729	72	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003301.bam"	493	29030	1163	1060	26	34	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003304.bam"	470	30996	1970	1739	10	101	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003307.bam"	502	34965	1798	1608	37	66	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003310.bam"	487	32357	2825	2412	39	166	7	8	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003313.bam"	524	34463	1246	1123	38	38	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003316.bam"	481	30331	1237	1135	16	38	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003319.bam"	514	36313	2201	1861	86	82	22	8	2	1	0	2	1	0	0	0	0	0	0	0	0	1
"SS6003322.bam"	495	31090	2997	2484	21	205	5	20	1	0	2	0	0	0	0	0	0	0	0	0	0	1
