"NoSNPs"	"NoReads"	"NoDups"	"AA"	"AB"	"AAA"	"AAB"	"AAAA"	"AAAB"	"AABB"	"AAAAA"	"AAAAB"	"AAABB"	"AAAAAA"	"AAAAAB"	"AAAABB"	"AAABBB"	"AAAAAAA"	"AAAAAAB"	"AAAAABB"	"AAAABBB"	"NoN"
"SS6003108.bam"	477	33457	1263	1140	50	31	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003110.bam"	543	40913	2132	1869	69	81	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003112.bam"	546	43861	1871	1641	80	65	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003114.bam"	467	24296	531	483	28	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003116.bam"	518	32330	3186	2585	42	239	12	14	1	0	1	0	0	0	0	0	0	0	0	0	0	3
"SS6003118.bam"	513	41954	5316	4254	67	403	11	46	2	1	1	1	1	0	0	0	1	0	0	0	0	3
"SS6003120.bam"	521	34627	584	507	50	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003124.bam"	523	33488	1919	1671	52	81	10	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
"SS6003128.bam"	447	26548	588	512	45	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003130.bam"	537	37618	2311	2005	66	106	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003132.bam"	486	31215	1127	1008	43	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003134.bam"	499	33668	635	559	54	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003136.bam"	495	32704	1116	1011	40	25	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003148.bam"	499	31110	499	444	35	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003301.bam"	475	29821	1291	1202	21	31	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003304.bam"	503	36569	2634	2349	21	108	4	12	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"SS6003307.bam"	514	38081	1987	1796	33	78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003310.bam"	509	36316	3330	2779	58	198	12	19	1	1	2	0	0	0	0	0	0	0	0	0	0	2
"SS6003313.bam"	510	35276	1323	1213	33	35	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003316.bam"	525	36923	1636	1487	25	56	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS6003319.bam"	534	38770	2530	2125	90	116	22	9	1	2	0	0	1	0	0	0	0	0	0	0	0	0
"SS6003322.bam"	515	33799	3398	2782	27	267	6	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0
