LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask6-lowdepth	199193	3680729	198554	57745	164257	543	0.051088	40128067
SS6003110.Mask6-lowdepth	210274	3739518	209509	60825	223124	644	0.065945	30157649
SS6003112.Mask6-lowdepth	216885	4012362	216073	66767	200017	842	0.05664	39048829
SS6003114.Mask6-lowdepth	160584	2798873	159960	37685	81067	520	0.034701	47672671
SS6003116.Mask6-lowdepth	171940	2928672	171267	44042	274408	686	0.09833	14668224
SS6003118.Mask6-lowdepth	194131	3660764	193415	56808	449825	393	0.127262	13658957
SS6003120.Mask6-lowdepth	100716	3575286	100405	27786	79935	676	0.025879	79412118
SS6003124.Mask6-lowdepth	103914	3142637	103539	26088	190012	652	0.063562	25008734
SS6003128.Mask6-lowdepth	116705	3150779	116322	28193	80865	514	0.029591	60700495
SS6003130.Mask6-lowdepth	98596	3256362	98225	24435	204631	700	0.065599	24890607
SS6003132.Mask6-lowdepth	104764	3285759	104414	26368	141544	1063	0.046352	37298135
SS6003134.Mask6-lowdepth	106230	3444116	105864	27512	86232	905	0.028591	68319618
SS6003136.Mask6-lowdepth	108239	3063036	107858	24944	119411	546	0.042309	38424093
SS6003148.Mask6-lowdepth	120350	3301699	120006	31010	71950	1194	0.026014	75874014
SS6003301.lanes1.Mask6-lowdepth	16584	564060	16532	869	5809	322	0.010908	28771187
SS6003301.lanes2.Mask6-lowdepth	31773	1127494	31674	3099	21151	616	0.019854	30542482
SS6003301.lanes3.Mask6-lowdepth	47701	1696487	47563	6814	46509	927	0.029015	30967978
SS6003301.lanes4.Mask6-lowdepth	62528	2249918	62344	11460	80134	1226	0.03764	31287178
SS6003301.lanes5.Mask6-lowdepth	78573	2828064	78345	17291	124334	1490	0.046377	31569790
SS6003301.Mask6-lowdepth	78573	2828064	78345	17291	124334	1490	0.046377	31569790
SS6003304.Mask6-lowdepth	95564	3269043	95211	24294	216314	1132	0.068879	23712744
SS6003307.Mask6-lowdepth	106577	3300458	106231	26221	170324	1044	0.054695	31044744
SS6003310.Mask6-lowdepth	106995	3160838	106662	27391	285904	754	0.093207	16440297
SS6003313.Mask6-lowdepth	78632	3180151	78388	18719	121020	1100	0.040497	41071463
SS6003316.Mask6-lowdepth	69903	3043409	69682	16779	130403	2209	0.045086	35052811
SS6003319.Mask6-lowdepth	102290	3467700	101972	30715	224045	1131	0.068034	25786215
SS6003322.Mask6-lowdepth	82938	2934179	82638	20666	280208	1406	0.09764	14431288
