"NoSNPs"	"AA"	"AB"	"AAA"	"AAB"	"AAAA"	"AAAB"	"AABB"	"AAAAA"	"AAAAB"	"AAABB"	"AAAAAA"	"AAAAAB"	"AAAABB"	"AAABBB"	"AAAAAAA"	"AAAAAAB"	"AAAAABB"	"AAAABBB"
"3108"	972	2256	75	75	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"3110"	1083	3404	107	152	13	2	2	0	1	0	0	0	0	0	0	0	0	0	0
"3112"	1093	3045	127	116	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"3114"	986	972	39	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3116"	1005	3333	48	270	7	11	1	0	1	0	0	0	0	0	0	0	0	0	0
"3118"	998	5971	89	600	19	52	3	1	3	0	0	1	0	0	1	0	0	0	0
"3120"	1032	1067	100	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3124"	1055	2922	76	153	10	4	1	0	1	0	0	0	0	0	0	0	0	0	0
"3128"	942	861	63	21	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"3130"	1065	3223	80	156	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0
"3132"	980	1919	55	64	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3134"	1023	1184	91	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3136"	1033	1871	77	55	11	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"3148"	1008	914	73	9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"3301"	968	1757	30	58	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
"3304"	973	3266	19	173	7	10	1	0	0	0	0	0	0	0	0	0	0	0	0
"3307"	1016	2637	49	114	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"3310"	996	4290	66	275	11	26	2	0	1	0	0	1	0	0	0	1	0	0	0
"3313"	1034	1947	43	51	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"3316"	1006	2094	27	61	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"3319"	1048	3190	126	168	28	12	2	3	0	0	1	0	0	0	0	0	0	0	0
"3322"	1010	4268	32	380	7	25	1	0	2	0	0	0	0	0	0	0	0	0	0
