"NoSNPs"	"AA"	"AB"	"AAA"	"AAB"	"AAAA"	"AAAB"	"AABB"	"AAAAA"	"AAAAB"	"AAABB"	"AAAAAA"	"AAAAAB"	"AAAABB"	"AAABBB"	"AAAAAAA"	"AAAAAAB"	"AAAAABB"	"AAAABBB"
"1"	493	1003	34	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	528	1520	50	73	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	552	1396	58	53	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	471	360	15	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	502	1834	21	168	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0
"6"	502	3349	58	341	9	33	0	1	1	0	0	1	0	0	1	0	0	0	0
"7"	528	432	38	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	520	1411	39	72	5	2	1	0	1	0	0	0	0	0	0	0	0	0	0
"9"	452	400	26	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	527	1678	45	90	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0
"11"	488	837	27	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	492	433	39	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	493	861	36	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	471	344	27	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	483	977	15	31	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	489	1900	13	93	4	8	1	0	0	0	0	0	0	0	0	0	0	0	0
"17"	511	1444	24	66	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	481	2257	39	149	7	16	1	0	1	0	0	0	0	0	0	0	0	0	0
"19"	521	1037	21	26	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	521	1225	17	33	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	539	1781	69	108	14	6	0	2	0	0	1	0	0	0	0	0	0	0	0
"22"	507	2319	20	212	5	11	0	0	1	0	0	0	0	0	0	0	0	0	0
