LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SS6003108.Mask2-ChrY	143731	574193	143731	100784	70318	65	0.186841	2150414
SS6003110.Mask2-ChrY	830925	7474461	830925	678582	2880515	1392	0.408091	7002837
SS6003112.Mask2-ChrY	874625	9335865	874625	722005	3381685	2245	0.382955	9541951
SS6003114.Mask2-ChrY	542022	5184768	542022	438196	1498649	1131	0.314849	7144499
SS6003116.Mask2-ChrY	526784	5460735	526784	395732	1488610	1493	0.294626	8103398
SS6003118.Mask2-ChrY	735545	7333037	735545	576025	2492933	932	0.361124	8171254
SS6003120.Mask2-ChrY	699811	8578985	699811	629446	3112190	1942	0.383801	8750001
SS6003124.Mask2-ChrY	505516	7082035	505516	424475	2427624	1753	0.359909	7805385
SS6003128.Mask2-ChrY	748977	7914530	748977	663480	2820770	1376	0.380324	8271098
SS6003130.Mask2-ChrY	527218	7424098	527218	449068	2535901	1906	0.359071	8221655
SS6003132.Mask2-ChrY	575727	7864330	575727	499971	2763730	3033	0.369682	8381156
SS6003134.Mask2-ChrY	763537	9525495	763537	684237	3942010	3013	0.432423	8049619
SS6003136.Mask2-ChrY	572898	7699363	572898	472151	2466953	1658	0.338479	9284932
SS6003148.Mask2-ChrY	121894	548415	121894	94220	61942	165	0.178961	2246361
SS6003301.lanes1.Mask2-ChrY	73664	1176813	73664	48706	129437	681	0.126717	4972088
SS6003301.lanes2.Mask2-ChrY	143114	2359837	143114	105644	396661	1392	0.184866	6225726
SS6003301.lanes3.Mask2-ChrY	214390	3551200	214390	165887	727970	2091	0.221658	7448028
SS6003301.lanes4.Mask2-ChrY	282591	4711263	282591	224954	1084373	2779	0.246643	8610374
SS6003301.lanes5.Mask2-ChrY	354048	5925303	354048	288174	1484085	3430	0.266812	9772818
SS6003301.Mask2-ChrY	354048	5925303	354048	288174	1484085	3430	0.266812	9772818
SS6003304.Mask2-ChrY	466513	7043017	466513	393971	2089777	2766	0.314277	9388986
SS6003307.Mask2-ChrY	485064	7227067	485064	406770	2075515	2686	0.30509	10044281
SS6003310.Mask2-ChrY	97842	496282	97842	72528	72955	97	0.200327	1519790
SS6003313.Mask2-ChrY	87991	471526	87991	67351	39421	178	0.141791	2671283
SS6003316.Mask2-ChrY	527454	8223925	527454	471884	2960245	7037	0.376569	8486365
SS6003319.Mask2-ChrY	585567	8749915	585567	519073	3566563	3376	0.423115	7561702
SS6003322.Mask2-ChrY	405412	6440706	405412	337722	1949927	3716	0.318931	8369236
